datetime,zone1,zone2,zone3,zone4
2020-12-29 15:46:11,0,0,0,3
2020-12-29 15:47:43,0,0,0,3
2020-12-29 15:49:12,0,2,0,8
2020-12-29 15:50:41,0,0,0,6
2020-12-29 15:52:14,0,0,2,10
2020-12-29 15:53:44,0,0,0,6
2020-12-29 15:55:15,0,2,0,7
2020-12-29 15:56:46,0,0,0,6
2020-12-29 15:58:18,0,2,0,8
2020-12-29 15:59:46,0,2,0,3
2020-12-29 16:01:17,0,2,0,4
2020-12-29 16:02:46,0,3,0,4
2020-12-29 16:04:18,0,2,2,4
2020-12-29 16:06:30,0,0,0,4
2020-12-29 16:07:57,0,0,0,4
2020-12-29 16:09:27,0,2,0,9
2020-12-29 16:10:55,2,2,0,9
2020-12-29 16:12:26,0,2,0,4
2020-12-29 16:14:30,0,4,0,6
2020-12-29 16:16:01,0,2,0,5
2020-12-29 16:17:31,0,2,0,3
2020-12-29 16:19:00,0,0,0,3
2020-12-29 16:20:33,0,2,0,3
2020-12-29 16:22:05,2,2,0,4
2020-12-29 16:23:35,0,4,0,2
2020-12-29 16:25:03,0,4,0,5
2020-12-29 16:26:35,0,3,0,5
2020-12-29 16:28:07,0,2,2,2
2020-12-29 16:29:37,0,2,2,2
2020-12-29 16:32:34,0,0,0,3
2020-12-29 16:34:03,0,2,0,4
2020-12-29 16:35:34,0,0,0,7
2020-12-29 16:37:07,0,0,0,10
2020-12-29 16:38:35,0,0,0,9
2020-12-29 16:40:05,0,2,0,2
2020-12-29 16:41:33,0,2,0,6
2020-12-29 16:43:04,0,2,0,6
2020-12-29 16:44:33,2,2,0,2
2020-12-29 16:46:03,0,3,0,2
2020-12-29 16:47:31,0,2,0,2
2020-12-29 16:48:59,0,0,0,2
2020-12-29 16:50:30,0,0,0,2
2020-12-29 16:53:39,0,0,0,4
2020-12-29 16:56:50,0,2,0,2
2020-12-29 16:58:27,0,0,0,2
2020-12-29 16:59:55,0,0,0,3
2020-12-29 17:01:26,0,0,0,2
2020-12-29 17:02:58,0,0,0,3
2020-12-29 17:07:19,0,2,0,2
2020-12-29 17:08:50,0,2,0,2
2020-12-29 17:11:44,0,0,0,10
2020-12-29 17:14:47,0,3,0,6
2020-12-29 17:16:20,0,4,0,7
2020-12-29 17:17:51,0,4,0,4
2020-12-29 17:19:26,0,2,0,4
2020-12-29 17:20:59,0,3,0,5
2020-12-29 17:22:30,0,3,0,6
2020-12-29 17:24:01,0,5,0,5
2020-12-29 17:25:32,0,4,0,6
2020-12-29 17:27:02,0,0,0,4
2020-12-29 17:28:35,0,0,0,8
2020-12-29 17:30:06,0,2,0,3
2020-12-29 17:31:37,0,2,0,6
2020-12-29 17:33:06,0,0,0,2
2020-12-29 17:40:37,0,0,0,4
2020-12-29 17:42:06,0,0,0,4
2020-12-29 17:45:03,0,0,0,2
2020-12-29 17:46:32,0,0,0,4
2020-12-29 17:49:40,0,0,0,8
2020-12-29 17:51:10,0,0,0,2
2020-12-29 17:52:40,0,0,0,2
2020-12-29 17:54:09,0,0,3,3
2020-12-29 17:55:39,0,0,0,3
2020-12-29 17:57:08,0,0,0,2
2020-12-29 18:00:04,0,0,0,3
2020-12-29 18:01:36,0,0,0,3
2020-12-29 18:03:06,2,0,0,2
2020-12-29 18:04:36,0,0,0,3
2020-12-29 18:06:07,0,0,0,3
2020-12-29 18:07:36,0,0,0,4
2020-12-29 18:09:04,0,0,0,3
2020-12-29 18:10:35,0,0,0,2
2020-12-29 18:12:04,0,0,0,4
2020-12-29 18:13:37,0,0,2,5
2020-12-29 18:15:06,0,0,2,4
2020-12-29 18:16:41,0,0,0,9
2020-12-29 18:18:11,0,0,0,2
2020-12-29 18:19:49,0,0,0,3
2020-12-29 18:21:22,0,0,0,2
2020-12-29 18:22:54,0,0,0,2
2020-12-29 18:24:26,0,0,0,4
2020-12-29 18:25:54,0,0,0,4
2020-12-29 18:27:23,0,0,0,2
2020-12-29 18:28:54,0,0,0,4
2020-12-29 18:30:21,0,0,0,4
2020-12-29 18:31:49,0,0,0,4
2020-12-29 18:33:17,0,0,0,4
2020-12-29 18:38:17,0,0,0,4
2020-12-29 18:39:45,0,0,0,4
2020-12-29 18:41:13,0,0,0,4
2020-12-29 18:42:44,0,0,0,2
2020-12-29 18:44:17,0,0,0,4
2020-12-29 18:45:46,0,0,0,2
2020-12-29 18:47:18,0,0,0,5
2020-12-29 18:49:08,0,0,0,4
2020-12-29 18:53:28,0,0,0,4
2020-12-29 18:55:00,0,0,2,2
2020-12-29 18:56:30,0,0,0,3
2020-12-29 18:58:00,0,0,0,4
2020-12-29 18:59:31,0,0,0,2
2020-12-29 19:02:32,0,0,0,2
2020-12-29 19:04:01,0,0,0,3
2020-12-29 19:05:28,0,0,0,4
2020-12-29 19:08:22,0,0,0,5
2020-12-29 19:09:52,0,0,0,4
2020-12-29 19:11:19,0,0,0,3
2020-12-29 19:12:46,0,0,0,12
2020-12-29 19:14:15,0,0,0,14
2020-12-29 19:15:44,0,0,0,15
2020-12-29 19:17:13,0,3,0,3
2020-12-29 19:18:42,0,2,0,4
2020-12-29 19:20:11,0,3,0,4
2020-12-29 19:21:44,0,3,0,3
2020-12-29 19:23:12,0,3,0,5
2020-12-29 19:24:44,2,3,0,4
2020-12-29 19:26:14,0,2,0,4
2020-12-29 19:27:42,0,2,0,5
2020-12-29 19:29:12,0,2,0,4
2020-12-29 19:30:42,0,2,0,4
2020-12-29 19:32:11,0,0,0,5
